OBJECTID,Latitude (degree),Longitude (degree),Ocean,Region,Subregion,Country,State,Beach Location,Marine Setting,Ocean Bottom Depth (m),Water Sample Depth (m),Sediment Sample Depth (m),Sampling Method,Mesh Size (mm),Transect Number,Sampling Point on Beach,Volunteers Number,Collecting Time (min),Standardized Nurdle  Amount,Microplastics Measurement,Unit,Concentration Class Range,Concentration Class,Short Reference,Long Reference,DOI,Organization,Keywords,NCEI Accession Number,NCEI Accession Link,Symbology,GlobalID,Sample Date,x,y
797,44.28,-66.93,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.043244,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",67978cf0-37e2-4d80-80e5-de8843bc29bf,7/26/1994 0:00,-66.93,44.28
798,41,-70.88,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",75e53412-10b3-41f3-8c17-00713bf5e29f,8/6/1994 0:00,-70.88,41
799,40.67,-70.52,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",af785bb8-494a-4e83-82b6-929fd9549612,8/7/1994 0:00,-70.52,40.67
800,40.67,-70.52,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",948d0ebe-4fd3-4aac-bcff-719a3b9d8277,8/7/1994 0:00,-70.52,40.67
801,40.1,-70.08,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",c76eb44f-481b-4aef-a409-eafa6c2506c0,8/7/1994 0:00,-70.08,40.1
802,40.1,-70.08,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",70c76afe-88ac-4816-8ebb-c49c5a6c0eb5,8/7/1994 0:00,-70.08,40.1
807,41.03,-68.58,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00216,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",6f43e8c2-863d-4452-8886-d52d99bc001c,8/11/1994 0:00,-68.58,41.03
808,41.03,-68.58,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00216,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",bb0fce4b-6e82-4d9d-a07d-7dfdb675bbd1,8/11/1994 0:00,-68.58,41.03
809,43.57,-69.35,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00216,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",d3f2686a-9eff-42b6-90d2-f451b16fbdf1,9/25/1994 0:00,-69.35,43.57
810,43.4,-68.32,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00216,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",94897796-679c-4ba1-85e7-e1a171e12328,9/25/1994 0:00,-68.32,43.4
811,43.43,-67.92,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00432,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",a9148b8e-dd8f-483b-a226-e5ef4bcb4a91,9/26/1994 0:00,-67.92,43.43
812,43.88,-67.37,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00648,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",af7c4029-7ded-4634-a6e0-f7fb859844bb,9/26/1994 0:00,-67.37,43.88
813,44.08,-67.08,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",f658a80c-2025-414e-bf3f-7a590195b07f,9/27/1994 0:00,-67.08,44.08
814,43.75,-67.22,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",19bbab8a-bcfc-459d-ae72-08c01a09575a,9/27/1994 0:00,-67.22,43.75
815,41.23,-70.9,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",c84e830b-d236-43a6-bbf6-8a55b8203500,10/14/1994 0:00,-70.9,41.23
946,40.25,-66.03,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.012344,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",c7f9a70a-bef6-4fc1-868b-170695d845f9,5/31/1995 0:00,-66.03,40.25
947,40.25,-66.03,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00432,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",35f99c27-14c6-4b62-b493-a5f5e4ba2f91,5/31/1995 0:00,-66.03,40.25
948,40.65,-65.95,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",77228241-0b46-4589-a234-6353f782c615,5/31/1995 0:00,-65.95,40.65
949,42.85,-66.22,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.0108,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",33a10535-81c6-4463-a7a0-e19894a4a73c,6/3/1995 0:00,-66.22,42.85
950,42.85,-66.22,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",a562ff84-d37f-4ac2-9bd5-674980e8a66a,6/3/1995 0:00,-66.22,42.85
951,43.32,-65.13,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00432,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",1a390d55-fe3e-4585-8e89-9dd816080a0d,6/3/1995 0:00,-65.13,43.32
952,43.32,-65.13,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",1617b6d5-647d-454c-aa67-258184467e71,6/3/1995 0:00,-65.13,43.32
953,40.48,-70.6,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.01728,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",a625a096-997a-41c3-9927-41a5e9402fb1,6/24/1995 0:00,-70.6,40.48
954,40.48,-70.6,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.036716,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",20282c2b-1ca4-44e6-8e86-166a131151e4,6/24/1995 0:00,-70.6,40.48
955,40.25,-70.55,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.032396,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",162b6074-8789-4eb6-997d-8008b7ba6bc0,6/25/1995 0:00,-70.55,40.25
956,40.25,-70.55,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.025916,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",97ad252d-d799-4c08-88a3-0d9e0f5e5198,6/25/1995 0:00,-70.55,40.25
965,41.42,-70.72,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",3daad9d2-23fd-46d4-8f84-ca21c73934e9,7/7/1995 0:00,-70.72,41.42
966,42.42,-70.5,Atlantic Ocean,Stellwagen Bank National Marine Sanctuary,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",bfee80d5-839a-4d2f-bd3b-d312270e2d90,7/8/1995 0:00,-70.5,42.42
967,42.32,-69.13,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00216,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",73614b05-903a-4139-aa3f-6d0e9b5b8cfe,7/9/1995 0:00,-69.13,42.32
968,42.18,-67.57,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.0108,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",f6bcba46-5013-4c39-92bf-8182116150b9,7/9/1995 0:00,-67.57,42.18
969,42.1,-66.22,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00432,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",ccd21664-8ef0-4317-9951-d2dd5260ceaf,7/10/1995 0:00,-66.22,42.1
970,42.07,-65.3,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",c729d886-d2b2-493f-96c7-ceeaebb8bc04,7/10/1995 0:00,-65.3,42.07
971,41.82,-64,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.01152,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",99456df1-cfd0-4aa7-9c18-3565e1a0ebe1,7/11/1995 0:00,-64,41.82
972,42.32,-62.58,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00864,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",0900e584-e6ff-49d1-88e2-18ec719cb9f4,7/11/1995 0:00,-62.58,42.32
973,45.72,-57.73,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.086392,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",14c06f61-e218-4e72-9e75-211fe4a21902,7/15/1995 0:00,-57.73,45.72
974,46.38,-56.82,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.0108,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",d59739a0-e677-43cf-bcc4-4fc1df6b88d6,7/16/1995 0:00,-56.82,46.38
975,43.97,-68,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.036716,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",2db47a98-02ca-4dd6-8fbe-d71dc0d9b893,7/26/1995 0:00,-68,43.97
976,44.17,-68.08,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00864,pieces/m3,0.005-1,Medium,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Medium, 0.005-1 pieces/m3",5a06f06b-a348-49bf-a2c0-6b681c8f98ba,7/27/1995 0:00,-68.08,44.17
977,44.25,-68.12,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0,pieces/m3,0-0.0005,Very Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Very Low, 0-0.0005 pieces/m3",be0c2f04-e91d-4b04-81bd-8df062de164c,7/27/1995 0:00,-68.12,44.25
978,40.98,-70.43,Atlantic Ocean,,,,,,Ocean water,,0,,Neuston net,0.335,,,,,,0.00216,pieces/m3,0.0005-0.005,Low,Law et al.2010,"Law, K.L., S. Morét-Ferguson, N.A. Maximenko, G. Proskurowski, E.E. Peacock, J. Hafner J, et al. 2010. Plastic accumulation in the North Atlantic subtropical gyre. Science. 329(5996):1185–8.",https://doi.org/10.1126/science.1192321,Sea Education Association,SEA,211007,https://www.ncei.noaa.gov/access/metadata/landing-page/bin/iso?id=gov.noaa.nodc:211007,"Ocean Surface, Low, 0.0005-0.005 pieces/m3",d8eb31ad-6778-4328-a969-f6d1d6c2ec3c,10/20/1995 0:00,-70.43,40.98
