Study,NST_Site,General Location,Specific Location,State Name,Region,Specific Region,Coastal Ecological Area,Latitude,Longitude,NST_Sample_ID,Station Letter,Sample Number,Fiscal Year,Condition Code,Condition Code Description,Sex,Gonadal Index,Gonadal Index Description,Length,Wet Weight,Full Displacement Volume,Empty Displacement Volume,Dermo,Dermo Infection Intensity,Dermo Numerical Value,Dermo Description,Gonad Subsample Wet Weight,Ceroid,Cestode Body,Cestode Gill,Cestode Mantle,Ciliate Digestive Tract,Ciliate Gut,Ciliate Large Gill,Ciliate Small Gill,Copepod Body,Copepod Gill,Copepod Gut Digestive Tubule,Nematode,Nematopsis Body,Nematopsis Gill,Nematopsis Mantle,Neoplasm,Pea Crab,Rickettsia Digestive Tubule,Rickettsia Gut,Proctoeces,Bucephalus,Trematode Metacercariae,Trematode Metacercariae Description,Diffuse Necrosis,Focal Necrosis,Diffuse Inflammation,Focal Inflammation,Digestive Tubule Atrophy,Digestive Tubule Atrophy Description,Multinucleated sphere X,Multinucleated sphere X Description,Xenoma,Edema,Hydra Gill,Nemertine Gill,Other trematode sporocyst gill,Other trematode sporocyst gut,Protozoan Digestive Tubule,Protozoan Gut,Tumor,Unidentified Gonoduct Organism,Unidentified Organism,Unusual Digestive Tubule
Mussel Watch,CBCC,Chesapeake Bay,Cape Charles,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.2845,-76.0153,MW1995CBCCCV,a,1,1995,,,Female,2,Oyster - 2 : Early development,6.5,,350,205,VL,Very light,0.33,1-10 hypnospores,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCC,Chesapeake Bay,Cape Charles,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.2845,-76.0153,MW1995CBCCCV,a,2,1995,,,Female,3,Oyster - 3 : Mid development,6.2,,350,205,N,Negative,0,No hypnospores present,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCC,Chesapeake Bay,Cape Charles,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.2845,-76.0153,MW1995CBCCCV,a,3,1995,,,Female,2,Oyster - 2 : Early development,8.3,,350,205,N,Negative,0,No hypnospores present,,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCC,Chesapeake Bay,Cape Charles,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.2845,-76.0153,MW1995CBCCCV,a,4,1995,,,Female,8,Oyster - 8 : Spawned: Few Gametes visible,7.2,,350,205,N,Negative,0,No hypnospores present,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCC,Chesapeake Bay,Cape Charles,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.2845,-76.0153,MW1995CBCCCV,a,5,1995,,,Female,8,Oyster - 8 : Spawned: Few Gametes visible,6.3,,350,205,N,Negative,0,No hypnospores present,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCI,Chincoteague Bay,Chincoteague Inlet,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.9385,-75.3758,MW1995CBCICV,a,1,1995,,,Female,2,Oyster - 2 : Early development,9.2,,450,280,L,Light,1,75-125 hypnospores,,63,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCI,Chincoteague Bay,Chincoteague Inlet,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.9385,-75.3758,MW1995CBCICV,a,2,1995,,,Female,3,Oyster - 3 : Mid development,7.4,,450,280,L,Light,1,75-125 hypnospores,,5,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCI,Chincoteague Bay,Chincoteague Inlet,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.9385,-75.3758,MW1995CBCICV,a,3,1995,,,Female,2,Oyster - 2 : Early development,8.6,,450,280,N,Negative,0,No hypnospores present,,7,0,0,0,0,0,0,0,0,0,0,0,5,12,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCI,Chincoteague Bay,Chincoteague Inlet,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.9385,-75.3758,MW1995CBCICV,a,4,1995,,,Female,3,Oyster - 3 : Mid development,7.8,,450,280,N,Negative,0,No hypnospores present,,113,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
Mussel Watch,CBCI,Chincoteague Bay,Chincoteague Inlet,Virginia,East Coast,Cape Hatteras to Delaware Bay,Lower Chesapeake Bay and Watershed,37.9385,-75.3758,MW1995CBCICV,a,5,1995,,,Male,2,Oyster - 2 : Early development,7.1,,450,280,N,Negative,0,No hypnospores present,,118,0,0,0,0,0,0,0,0,0,0,0,11,17,4,0,0,0,0,0,0,0,Uninfected,0,0,0,0,3,"Wall thickness less than one-half of normal, most tubules walls significantly atrophied, some walls extremely thin",0,"Uninfected, no parasites found in the tissue cross-section",0,,,,,,,,,0,0,0
